                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2652,                 6.6613,                 4.2522,                      0,                      0,                      0,                      0,                 5.4341,                 4.5373,                 4.1647,             0.00020325,             0.00020325,             0.00020325
                      2,                 4.6883,                 5.8336,                  3.976,                      0,                      0,                      0,                      0,                 5.2386,                  4.451,                 4.1291,             0.00041057,             0.00041057,             0.00041057
                      3,                 4.1684,                 5.0654,                 3.5444,                      0,                      0,                      0,                      0,                 5.0032,                  4.325,                 3.9301,             0.00061685,             0.00061685,             0.00061685
                      4,                 3.7093,                 4.4989,                 3.1771,                0.99382,                0.03955,                0.05106,                0.02101,                 3.3178,                 3.0937,                  2.787,             0.00062036,             0.00062036,             0.00062036
                      5,                 3.4845,                 4.1535,                 3.0019,                0.78346,                0.06061,                0.06422,                0.02811,                  3.221,                 3.9968,                 2.5286,             0.00061881,             0.00061881,             0.00061881
                      6,                 3.2875,                 3.9515,                 2.7914,                0.61735,                0.04793,                0.06327,                0.02795,                 3.2676,                 4.0596,                 2.6206,             0.00061727,             0.00061727,             0.00061727
                      7,                   3.16,                 3.6502,                  2.749,                0.61879,                0.09047,                0.09087,                0.04649,                 2.9847,                 5.5135,                 2.4137,             0.00061572,             0.00061572,             0.00061572
                      8,                 3.1085,                 3.5909,                 2.6743,                0.47873,                0.11456,                0.12043,                0.05726,                 2.8498,                 2.9229,                 2.3696,             0.00061417,             0.00061417,             0.00061417
                      9,                 3.0092,                 3.4604,                 2.5696,                0.90736,                0.07071,                0.11807,                0.06338,                 2.8372,                 2.7284,                  2.324,             0.00061262,             0.00061262,             0.00061262
                     10,                 2.9273,                 3.2907,                 2.4742,                0.79585,                0.09304,                0.14208,                0.07295,                 2.7828,                 2.6104,                 2.1055,             0.00061108,             0.00061108,             0.00061108
                     11,                 2.7599,                 3.1161,                 2.3613,                0.66944,                0.12545,                0.15632,                0.08906,                 2.6533,                 2.4519,                 2.0567,             0.00060953,             0.00060953,             0.00060953
                     12,                 2.6955,                 2.9462,                 2.3171,                0.43588,                0.20756,                0.18893,                0.08628,                 2.6156,                 2.5496,                  1.968,             0.00060798,             0.00060798,             0.00060798
                     13,                 2.5629,                   2.86,                 2.2214,                0.45795,                0.20318,                0.21232,                0.11029,                 2.4031,                 2.1437,                 1.8853,             0.00060644,             0.00060644,             0.00060644
                     14,                 2.5623,                 2.7457,                 2.2083,                0.45499,                0.21104,                0.18037,                0.08716,                 2.5136,                   2.39,                 1.9776,             0.00060489,             0.00060489,             0.00060489
                     15,                 2.4106,                 2.5824,                 2.0983,                 0.3053,                0.28574,                0.25966,                0.13205,                 2.3495,                 2.1982,                 1.8442,             0.00060334,             0.00060334,             0.00060334
                     16,                 2.3588,                 2.5598,                 2.0353,                0.35453,                0.24578,                 0.2496,                0.13199,                  2.251,                  2.099,                 1.7874,              0.0006018,              0.0006018,              0.0006018
                     17,                 2.3042,                 2.4268,                 2.0232,                0.48884,                0.28356,                0.28031,                0.13901,                 2.2065,                 1.9107,                 1.7641,             0.00060025,             0.00060025,             0.00060025
                     18,                 2.1721,                 2.2799,                 1.9295,                0.37036,                0.21669,                0.25792,                0.12354,                 2.1922,                 2.0287,                  1.725,              0.0005987,              0.0005987,              0.0005987
                     19,                 2.2119,                 2.2961,                 1.9019,                0.36621,                 0.2928,                0.26468,                0.13391,                 2.0835,                 1.9406,                 1.6781,             0.00059716,             0.00059716,             0.00059716
                     20,                 2.0918,                 2.1582,                 1.8509,                0.77403,                0.21969,                0.23731,                 0.1211,                 2.1869,                 2.0811,                 1.8292,             0.00059561,             0.00059561,             0.00059561
                     21,                 2.0164,                 2.0823,                 1.7813,                 0.5054,                 0.3908,                0.37425,                0.18067,                 2.0044,                 1.6999,                 1.6055,             0.00059406,             0.00059406,             0.00059406
                     22,                 2.0151,                 2.0546,                 1.7557,                0.60576,                 0.3349,                0.36641,                0.17548,                 2.0493,                 1.7081,                 1.5953,             0.00059252,             0.00059252,             0.00059252
                     23,                  1.989,                 2.0159,                 1.7461,                0.52223,                0.39393,                0.37156,                0.18215,                 2.0197,                 1.7364,                  1.581,             0.00059097,             0.00059097,             0.00059097
                     24,                 1.9202,                 1.9551,                 1.6921,                0.52051,                 0.3672,                0.38054,                0.17596,                 2.0255,                 1.7567,                 1.5649,             0.00058942,             0.00058942,             0.00058942
                     25,                 1.9344,                 1.9731,                 1.6794,                 0.6652,                0.32819,                0.36912,                0.17982,                  1.923,                 1.6652,                 1.5694,             0.00058787,             0.00058787,             0.00058787
                     26,                 1.8408,                 1.8511,                 1.6539,                0.51727,                0.39125,                0.41613,                0.20781,                 1.9356,                 1.6497,                 1.5111,             0.00058633,             0.00058633,             0.00058633
                     27,                 1.8626,                 1.8028,                 1.6313,                0.52634,                0.44977,                0.44968,                0.21863,                 1.9625,                 1.5881,                 1.5571,             0.00058478,             0.00058478,             0.00058478
                     28,                 1.7994,                 1.7545,                  1.589,                0.49467,                0.42196,                0.44707,                0.22599,                 1.8423,                 1.5587,                 1.5062,             0.00058323,             0.00058323,             0.00058323
                     29,                  1.737,                  1.694,                 1.5777,                0.45713,                0.52332,                0.52745,                0.25014,                  1.868,                  1.529,                 1.4876,             0.00058169,             0.00058169,             0.00058169
                     30,                 1.7498,                 1.7447,                 1.5716,                0.47138,                0.47553,                0.46104,                 0.2215,                 1.8339,                  1.539,                 1.4663,             0.00058014,             0.00058014,             0.00058014
